CustomerID,Lookalikes
C0001,"[('C0069', 0.9408), ('C0127', 0.8464), ('C0035', 0.8205)]"
C0002,"[('C0103', 0.9043), ('C0062', 0.8996), ('C0134', 0.8965)]"
C0003,"[('C0166', 0.9736), ('C0031', 0.8918), ('C0159', 0.887)]"
C0004,"[('C0122', 0.9053), ('C0113', 0.9012), ('C0017', 0.9007)]"
C0005,"[('C0197', 0.9973), ('C0007', 0.9265), ('C0095', 0.8951)]"
C0006,"[('C0185', 0.8815), ('C0196', 0.8499), ('C0187', 0.8353)]"
C0007,"[('C0005', 0.9265), ('C0140', 0.8971), ('C0197', 0.8965)]"
C0008,"[('C0162', 0.928), ('C0154', 0.8981), ('C0113', 0.8821)]"
C0009,"[('C0029', 0.9403), ('C0033', 0.9151), ('C0083', 0.912)]"
C0010,"[('C0030', 0.9171), ('C0029', 0.9076), ('C0077', 0.9047)]"
C0011,"[('C0126', 0.9544), ('C0171', 0.8879), ('C0193', 0.8864)]"
C0012,"[('C0065', 0.9731), ('C0136', 0.9307), ('C0104', 0.9251)]"
C0013,"[('C0105', 0.9428), ('C0067', 0.9193), ('C0028', 0.85)]"
C0014,"[('C0151', 0.9957), ('C0097', 0.9859), ('C0060', 0.9777)]"
C0015,"[('C0123', 0.9777), ('C0014', 0.9268), ('C0036', 0.9209)]"
C0016,"[('C0183', 0.9999), ('C0107', 0.9877), ('C0105', 0.8929)]"
C0017,"[('C0075', 0.9486), ('C0090', 0.9388), ('C0194', 0.914)]"
C0018,"[('C0168', 0.902), ('C0023', 0.8349), ('C0148', 0.8149)]"
C0019,"[('C0191', 0.9259), ('C0174', 0.8691), ('C0118', 0.823)]"
C0020,"[('C0140', 0.9452), ('C0110', 0.9211), ('C0080', 0.9179)]"
